시도 코드,시도 명,구군 코드,구군 명,주소,도로명 주소,전화 번호,팩스 번호,나의 사이렌 오더 여부,위도,경도
01,서울,0101,강남구,서울특별시 강남구 삼성동 114-9 올림푸스타워,서울특별시 강남구 봉은사로 446 (삼성동),1522-3232,02-539-3565,N,37.511293,127.048409
01,서울,0101,강남구,"서울특별시 강남구 역삼동 813-17 1,2,3층",서울특별시 강남구 봉은사로2길 39 (역삼동),1522-3232,02-557-3483,N,37.502117,127.026672
01,서울,0101,강남구,서울특별시 강남구 삼성동 159 코엑스  A106호,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,1522-3232,02-6002-3468,N,37.50999,127.061455
01,서울,0101,강남구,서울특별시 강남구 청담동 44-12 대륭빌딩,서울특별시 강남구 학동로 419 (청담동),1522-3232,02-514-3398,N,37.518181,127.045995
01,서울,0101,강남구,서울특별시 강남구 역삼동 788-10,서울특별시 강남구 도곡로 205 (역삼동),1522-3232,02-565-3497,N,37.492805,127.041309
01,서울,0101,강남구,서울특별시 강남구 역삼동 825 미진프라자 1층 101호,서울특별시 강남구 강남대로 390 (역삼동),1522-3232,02-561-3479,N,37.497711,127.028439
01,서울,0101,강남구,서울특별시 강남구 대치동 941-19 진흥빌딩,서울특별시 강남구 도곡로 457 (대치동),1522-3232,02-554-3316,N,37.498973,127.060172
01,서울,0101,강남구,서울특별시 강남구 청담동 132-1 삼청빌딩,서울특별시 강남구 영동대로 720 (청담동),1522-3232,02-3443-3372,N,37.522156,127.056449
01,서울,0101,강남구,서울특별시 강남구 신사동 609 이소니프라자,서울특별시 강남구 압구정로30길 17 (신사동),1522-3232,02-541-3307,N,37.526283,127.02956
01,서울,0101,강남구,서울특별시 강남구 신사동 533-11,서울특별시 강남구 가로수길 59 ,1522-3232,02-3446-3357,N,37.521933,127.022521
01,서울,0101,강남구,서울특별시 강남구 청담동 89-4,서울특별시 강남구 도산대로57길 24 (청담동),1522-3232,02-514-3365,N,37.525216,127.041827
01,서울,0101,강남구,서울특별시 강남구 역삼동 832-3 강남역 쉐르빌,서울특별시 강남구 강남대로 328 (역삼동),1522-3232,02-565-3348,N,37.492396,127.03091
01,서울,0101,강남구,서울특별시 강남구 논현2동 93-2번지,서울특별시 강남구 도산대로 328 (논현동),1522-3232,02-512-8971,N,37.52236449999999,127.03795430000002
01,서울,0101,강남구,서울특별시 강남구 대치동 960-5 티아빌딩,서울특별시 강남구 삼성로 402 (대치동),1522-3232,02-561-3288,N,37.503331,127.058817
01,서울,0101,강남구,서울특별시 강남구 삼성동 157-36 화진빌딩,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,1522-3232,02-554-3236,N,37.5075307,127.05742710000004
01,서울,0101,강남구,서울특별시 강남구 논현동 59-8 구산빌딩,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",1522-3232,02-549-8896,N,37.5191632,127.0286446
01,서울,0101,강남구,서울특별시 강남구 논현동 1-3 렉스타워,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,1522-3232,02-3443-8848,N,37.5162021,127.0207428
01,서울,0101,강남구,서울특별시 강남구 대치동 651,서울특별시 강남구 남부순환로 2909 (대치동),1522-3232,02-567-8809,N,37.492167,127.057398
01,서울,0101,강남구,서울특별시 강남구 논현동 238-5 한국건설기술인협회,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,1522-3232,02-548-8798,N,37.514887,127.035653
01,서울,0101,강남구,서울특별시 강남구 청담동 6-5 리츠타워,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,1522-3232,02-8230-2504,N,37.5236351,127.04686509999999
01,서울,0101,강남구,서울특별시 강남구 대치동 1024 디마크빌딩 101호,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",1522-3232,02-555-8683,N,37.496801,127.055055
01,서울,0101,강남구,서울특별시 강남구 역삼동 830-71,서울특별시 강남구 역삼로 123 (역삼동),1522-3232,02-567-8739,N,37.4941059,127.03299730000003
01,서울,0101,강남구,서울특별시 강남구 삼성동 159 코엑스 O103호,서울특별시 강남구 영동대로 513 (삼성동) O103호,1522-3232,02-6002-6391,N,37.513715,127.059245
01,서울,0101,강남구,서울특별시 강남구 신사동 529-10 1~2층,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",1522-3232,02-518-8661,N,37.5231593,127.02162499999997
01,서울,0101,강남구,서울특별시 강남구 역삼동 678-39번지 한국고등교육재단빌딩1층,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",1522-3232,02-6182-4905,N,37.501623,127.039375
01,서울,0101,강남구,서울특별시 강남구 역삼동 735-3번지 P&S TOWER,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",1522-3232,02-558-8631,N,37.499721,127.033582
01,서울,0101,강남구,서울특별시 강남구 역삼동 809-10번지 한석타워 2층 1-2호,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",1522-3232,02-557-8624,N,37.50314,127.025546
01,서울,0101,강남구,서울특별시 강남구 청담동 52-1 인희빌딩 1층,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",1522-3232,02-512-8659,N,37.5243631,127.05155990000003
01,서울,0101,강남구,서울특별시 강남구 삼성동 154-10번지,서울특별시 강남구 테헤란로87길 33 (삼성동),1522-3232,02-557-8635,N,37.5097863,127.05791339999996
01,서울,0101,강남구,서울특별시 강남구 대치동 1001-8 외 2필지 동남유화빌딩1층,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",1522-3232,02-557-8592,N,37.507794,127.06517
01,서울,0101,강남구,서울특별시 강남구 논현동 87,서울특별시 강남구 논현로 704 (논현동),1522-3232,02-543-1901,N,37.51464884,127.0307302
01,서울,0101,강남구,서울특별시 강남구 대치동 988-17 대진빌딩,서울특별시 강남구 도곡로 511 (대치동),1522-3232,02-557-1885,N,37.49966175,127.0622171
01,서울,0101,강남구,서울특별시 강남구 도곡동 467-17 타워팰리스Ⅱ F 지하1층,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",1522-3232,02-2191-1261,N,37.490298,127.054895
01,서울,0101,강남구,서울특별시 강남구 삼성동 144-25 태리타워 1층,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",1522-3232,02-555-6653,N,37.50703529,127.0555503
01,서울,0101,강남구,서울특별시 강남구 대치동 889-70 세화빌딩 1층,서울특별시 강남구 테헤란로64길 18 (대치동) 1층,1522-3232,02-538-7855,N,37.50377562,127.051196
01,서울,0101,강남구,서울특별시 강남구 신사동 580-2 관영빌딩 1층 지하1층,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",1522-3232,02-518-1794,N,37.52674095,127.0281105
01,서울,0101,강남구,서울특별시 강남구 신사동 635-13,서울특별시 강남구 압구정로42길 32 (신사동),1522-3232,02-545-8321,N,37.52680046,127.0347174
01,서울,0101,강남구,서울특별시 강남구 역삼동 747-21,서울특별시 강남구 논현로 401 (역삼동),1522-3232,02-3453-8247,N,37.49592355,127.0388645
01,서울,0101,강남구,서울특별시 강남구 역삼동 677-25 큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",1522-3232,02-554-6916,N,37.50236693,127.0407
01,서울,0101,강남구,서울특별시 강남구 논현동 241-7 웰빙센터 1층,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",1522-3232,02-540-2919,N,37.5165849,127.04124330000002
01,서울,0101,강남구,서울특별시 강남구 대치동 507 윈플러스상가 107호,서울특별시 강남구 남부순환로 2936 (대치동) 107호,1522-3232,02-558-1920,N,37.493554,127.061874
01,서울,0101,강남구,서울특별시 강남구 개포4동 1229-1,서울특별시 강남구 논현로 88 (개포동),1522-3232,02-576-1922,N,37.47781106,127.0451411
01,서울,0101,강남구,서울특별시 강남구 역삼동 736-1,서울특별시 강남구 테헤란로 142 (역삼동),1522-3232,02-501-1958,N,37.49971982,127.0349084
01,서울,0101,강남구,서울특별시 강남구 대치동 994-10,서울특별시 강남구 영동대로 215 (대치동),1522-3232,02-554-1951,N,37.49803646,127.0684943
01,서울,0101,강남구,서울특별시 강남구 삼성2동 37-17 에프오빌딩,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,1522-3232,02-512-8970,N,37.51075489999999,127.04455970000004
01,서울,0101,강남구,서울특별시 강남구 삼성동 51번지,서울특별시 강남구 삼성로 605 (삼성동),1522-3232,02-546-8278,N,37.51354184,127.0527183
01,서울,0101,강남구,서울특별시 강남구 역삼동 679,서울특별시 강남구 논현로 508 (역삼동),1522-3232,02-553-4919,N,37.5018592,127.03727759999992
01,서울,0101,강남구,서울특별시 강남구 신사동 583-3,서울특별시 강남구 논현로 841 (신사동),1522-3232,02-3446-1909,N,37.52405601,127.027915
01,서울,0101,강남구,서울특별시 강남구 역삼동 708-6 LG화재 빌딩,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",1522-3232,02-558-6908,N,37.50393894,127.0485135
01,서울,0101,강남구,서울특별시 강남구 삼성동 91-31,서울특별시 강남구 영동대로 616 (삼성동),1522-3232,02-514-8478,N,37.515351,127.060109
01,서울,0101,강남구,서울특별시 강남구 역삼동 798-30,서울특별시 강남구 도곡로 183 (역삼동),1522-3232,02-552-8463,N,37.492209,127.039389
01,서울,0101,강남구,서울특별시 강남구 삼성동 53번지,서울특별시 강남구 학동로 506 (삼성동),1522-3232,02-516-8394,N,37.5186549,127.05143870000006
01,서울,0101,강남구,서울특별시 강남구 신사동 639-7번지,서울특별시 강남구 언주로174길 29 (신사동),1522-3232,02-517-8398,N,37.528115,127.036441
01,서울,0101,강남구,서울특별시 강남구 역삼동 681번지 금강빌딩 1-2층,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",1522-3232,02-566-8317,N,37.50898041,127.0403869
01,서울,0101,강남구,서울특별시 강남구 역삼동 826-26번지 1층 101호,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",1522-3232,02-508-8492,N,37.4964557,127.02968850000002
01,서울,0101,강남구,"서울특별시 강남구 청담동 84-3번지 삼원빌딩 1,2층","서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",1522-3232,02-542-8345,N,37.526549,127.040437
01,서울,0101,강남구,서울특별시 강남구 역삼동 706-1번지,서울특별시 강남구 테헤란로 306 (역삼동),1522-3232,02-556-8321,N,37.502721,127.044308
01,서울,0101,강남구,서울특별시 강남구 대치동 942-5번지 1층,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",1522-3232,02-501-8331,N,37.50576,127.057966
01,서울,0101,강남구,서울특별시 강남구 역삼동 697-45 대흥빌딩 1층,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",1522-3232,02-538-8552,N,37.505053,127.046577
01,서울,0101,강남구,서울특별시 강남구 논현동 216-5번지,서울특별시 강남구 논현로 648 (논현동),1522-3232,02-511-8426,N,37.5115577,127.03226199999995
01,서울,0101,강남구,서울특별시 강남구 논현동 5번지 2층,"서울특별시 강남구 도산대로 134, 2층 (논현동)",1522-3232,02-514-8429,N,37.51736229999999,127.02329570000006
01,서울,0101,강남구,서울특별시 강남구 대치동 922-1 SH타워,서울특별시 강남구 선릉로 324 (대치동),1522-3232,02-562-4025,N,37.4984818,127.052066
01,서울,0101,강남구,서울특별시 강남구 수서동 724 로즈데일오피스텔,서울특별시 강남구 광평로 280 (수서동),1522-3232,02-451-4154,N,37.4873267937748,127.103140081887
01,서울,0101,강남구,서울특별시 강남구 삼성동 159 코엑스아셈타워 AT-01호,서울특별시 강남구 영동대로 517 (삼성동),1522-3232,02-568-3981,N,37.513019,127.059838
01,서울,0101,강남구,서울특별시 강남구 역삼동 676 센터필드,서울특별시 강남구 테헤란로 231 (역삼동),1522-3232,02-6985-7258,N,37.50369465391196,127.04172081609173
01,서울,0101,강남구,서울특별시 강남구 논현동 70-6 트리스빌딩,서울특별시 강남구 언주로 727 (논현동),1522-3232,02-6255-0353,N,37.51966,127.0341
01,서울,0101,강남구,서울특별시 강남구 세곡동 551 팜모드빌딩,서울특별시 강남구 헌릉로569길 18 (세곡동),1522-3232,02-445-4079,N,37.467274319644,127.099929726
01,서울,0101,강남구,서울특별시 강남구 대치동 993-1,서울특별시 강남구 영동대로 237 (대치동),1522-3232,02-554-3969,N,37.500313,127.066961
01,서울,0101,강남구,서울특별시 강남구 역삼동 652-2,서울특별시 강남구 봉은사로 222 (역삼동),1522-3232,02-558-3821,N,37.507775,127.036472
01,서울,0101,강남구,서울특별시 강남구 역삼동 858,서울특별시 강남구 강남대로 396 (역삼동),1522-3232,--,N,37.4970572543978,127.028180714381
01,서울,0101,강남구,서울특별시 강남구 대치동 996-1번지,서울특별시 강남구 테헤란로 620 (대치동),1522-3232,02-565-4319,N,37.509206962541256,127.06560851480327
01,서울,0101,강남구,서울특별시 강남구 역삼동 702-10 아남타워빌딩,서울특별시 강남구 테헤란로 311 (역삼동),1522-3232,--,N,37.50383,127.04487
01,서울,0101,강남구,서울특별시 강남구 논현동 164-7,서울특별시 강남구 강남대로 512 (논현동),1522-3232,02-543-4245,N,37.5078978596254,127.023338614644
01,서울,0101,강남구,서울특별시 강남구 삼성동 168-22 페코빌딩,서울특별시 강남구 영동대로96길 12 (삼성동),1522-3232,02-558-4105,N,37.510843366121534,127.06363342044263
01,서울,0101,강남구,서울특별시 강남구 역삼동 755 한솔필리아,서울특별시 강남구 역삼로 310 (역삼동),1522-3232,02-554-4044,N,37.499367,127.048425
01,서울,0102,강북구,서울특별시 강북구 미아동 812-2 행전빌딩,서울특별시 강북구 삼양로 161 (미아동),1522-3232,02-980-3342,N,37.618319,127.021072
01,서울,0102,강북구,서울특별시 강북구 수유동 174-13,서울특별시 강북구 도봉로 365 (수유동),1522-3232,02-905-8944,N,37.6400354,127.0273766
01,서울,0102,강북구,서울특별시 강북구 미아동 35-30,서울특별시 강북구 도봉로 32 (미아동),1522-3232,02-980-8859,N,37.611809,127.0306971
01,서울,0102,강북구,서울특별시 강북구 번동 418-17,서울특별시 강북구 도봉로 342 (번동),1522-3232,02-995-2904,N,37.6380167,127.02613500000007
01,서울,0102,강북구,서울특별시 강북구 미아동 121-19번지,서울특별시 강북구 도봉로 196 (미아동),1522-3232,02-980-8501,N,37.626148,127.026578
01,서울,0102,강북구,서울특별시 강북구 우이동 산14-3,서울특별시 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층,1522-3232,--,N,37.664380074618,127.008566467101
01,서울,0103,강서구,서울특별시 강서구 마곡동 801-2,서울특별시 강서구 공항대로 248 (마곡동),1522-3232,02-2661-3793,N,37.558509,126.835096
01,서울,0103,강서구,서울특별시 강서구 마곡동 798-3,서울특별시 강서구 공항대로 168 (마곡동),1522-3232,02-2662-3882,N,37.559611,126.826298
01,서울,0103,강서구,서울특별시 강서구 내발산동 719-6 송화쇼핑센터,서울특별시 강서구 강서로 267 (내발산동),1522-3232,02-2664-2625,N,37.549501,126.835984
01,서울,0103,강서구,서울특별시 강서구 마곡동 796-3 마곡사이언스타워,서울특별시 강서구 마곡동로 62 (마곡동),1522-3232,02-2659-3586,N,37.5605261,126.833887
01,서울,0103,강서구,서울특별시 강서구 방화동 293-4,서울특별시 강서구 방화대로 375 (방화동),1522-3232,02-2649-8842,N,37.574339,126.816415
01,서울,0103,강서구,"서울특별시 강서구 마곡동 759-3 보타닉파크타워Ⅰ105,203,204호",서울특별시 강서구 마곡중앙로 161-17 (마곡동),1522-3232,02-3662-3505,N,37.56813,126.82614
01,서울,0103,강서구,서울특별시 강서구 마곡동 773-2 마곡지엠지타워,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",1522-3232,02-2659-3405,N,37.560487,126.829667
01,서울,0103,강서구,서울특별시 강서구 등촌동 73-1 금부빌딩,서울특별시 강서구 양천로 476 (등촌동),1522-3232,02-3661-3419,N,37.56164,126.853327
01,서울,0103,강서구,서울특별시 강서구 화곡동 772-67,서울특별시 강서구 등촌로 57 (화곡동),1522-3232,02-2648-3258,N,37.535149,126.863232
01,서울,0103,강서구,서울특별시 강서구 마곡동 776-6 (주)좋은책신사고마곡제2사옥,서울특별시 강서구 강서로 463 (마곡동),1522-3232,02-2658-3313,N,37.566964,126.840731
01,서울,0103,강서구,서울특별시 강서구 화곡동 1073-10,서울특별시 강서구 화곡로 142(화곡동),1522-3232,02-2697-8881,N,37.5405115,126.8372413
01,서울,0103,강서구,서울특별시 강서구 등촌동 668-9,서울특별시 강서구 공항대로 329 (등촌동),1522-3232,02-3665-8883,N,37.5582043,126.84433919999992
01,서울,0103,강서구,서울특별시 강서구 염창동 282-23,서울특별시 강서구 공항대로 627 (염창동),1522-3232,02-3665-8694,N,37.547359,126.874436
01,서울,0103,강서구,서울특별시 강서구 등촌동 678-14 그랜드마트,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,1522-3232,02-2668-8720,N,37.56033,126.839279
01,서울,0103,강서구,서울특별시 강서구 화곡동 343-1번지,서울특별시 강서구 강서로13길 3 (화곡동),1522-3232,02-2602-8538,N,37.532303,126.846077
01,서울,0103,강서구,"서울특별시 강서구 화곡동 1051-22, 1층 일부","서울특별시 강서구 강서로 179 (화곡동), 1층 일부",1522-3232,02-2606-4239,N,37.542514,126.839062
01,서울,0103,강서구,"서울특별시 강서구 화곡동 1013-3 우장산역 해링턴 타워, 116/117/118/119/120호","서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/120호",1522-3232,02-2604-4316,N,37.546305,126.835923
01,서울,0103,강서구,서울특별시 강서구 염창동 274-17 센터스퀘어,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)",1522-3232,02-2659-4095,N,37.55101,126.86638
01,서울,0103,강서구,"서울특별시 강서구 등촌동 628-9 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호","서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호",1522-3232,02-2131-2984,N,37.56007,126.855372
01,서울,0103,강서구,"서울특별시 강서구 내발산동 668, 101/102호","서울특별시 강서구 강서로 323 (내발산동), 101/102호",1522-3232,02-2664-4082,N,37.55467,126.83672
01,서울,0103,강서구,"서울특별시 강서구 마곡동 759-2, 104/105/106호","서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호",1522-3232,02-3665-8944,N,37.56754,126.82553
01,서울,0103,강서구,서울특별시 강서구 방화동 645-6,서울특별시 강서구 개화동로 517 (방화동),1522-3232,02-2661-4146,N,37.566396,126.80608
01,서울,0103,강서구,"서울특별시 강서구 등촌동 689 엔씨백화점 1F, 일부",서울특별시 강서구 강서로56길 17 (등촌동),1522-3232,02-2667-9507,N,37.560088,126.840534
01,서울,0103,강서구,서울특별시 강서구 마곡동 743-1,서울특별시 강서구 마곡중앙5로 47 (마곡동),1522-3232,02-2661-3842,N,37.567007,126.822246
01,서울,0103,강서구,서울특별시 강서구 화곡동 1111 SJ라벨라,서울특별시 강서구 화곡로 350 (화곡동),1522-3232,02-2603-4011,N,37.5549266,126.8523133
01,서울,0104,관악구,서울특별시 관악구 봉천동 1660-1,서울특별시 관악구 남부순환로 1908 (봉천동),1522-3232,02-882-3795,N,37.477946,126.961193
01,서울,0104,관악구,서울특별시 관악구 봉천동 856-6 BS타워,서울특별시 관악구 관악로 158 (봉천동),1522-3232,02-883-3726,N,37.479343,126.95278
01,서울,0104,관악구,서울특별시 관악구 신림동 564-12,서울특별시 관악구 남부순환로 1419 (신림동),1522-3232,02-851-3284,N,37.480935,126.908407
01,서울,0104,관악구,서울특별시 관악구 봉천동 861-6,서울특별시 관악구 남부순환로 1817 (봉천동),1522-3232,02-876-3253,N,37.481599,126.9522
01,서울,0104,관악구,서울특별시 관악구 봉천동 1657-3,서울특별시 관악구 남부순환로 1948 (봉천동),1522-3232,02-872-3250,N,37.476169,126.965005
01,서울,0104,관악구,서울특별시 관악구 남현동 1060-10,서울특별시 관악구 남부순환로 2082-25,1522-3232,02-523-8721,N,37.47601,126.980997
01,서울,0104,관악구,서울특별시 관악구 봉천동 729-21 대교타워 1층,서울특별시 관악구 보라매로3길 23 (봉천동) 1층,1522-3232,02-831-9629,N,37.491449,126.925432
01,서울,0104,관악구,"서울특별시 관악구 신림동 1422-35,36,37",서울특별시 관악구 남부순환로 1619 (신림동),1522-3232,02-877-8645,N,37.484768,126.930467
01,서울,0104,관악구,서울특별시 관악구 신림동 1432-71번지,서울특별시 관악구 신림로 355-1 (신림동),1522-3232,02-875-8290,N,37.48609493,126.9291602
01,서울,0104,관악구,서울특별시 관악구 신림동 1641-2번지 타임스트림 1층,서울특별시 관악구 신림로 330 타임스트림 1층,1522-3232,02-881-8091,N,37.48385383,126.9301799
01,서울,0104,관악구,서울특별시 관악구 봉천동 869-1,서울특별시 관악구 남부순환로 1812 (봉천동),1522-3232,02-875-8460,N,37.48118,126.951324
01,서울,0104,관악구,서울특별시 관악구 봉천동 927-5 청운빌딩,서울특별시 관악구 남부순환로 1730 (봉천동),1522-3232,02-882-4244,N,37.4820375340064,126.942287792538
01,서울,0105,광진구,서울특별시 광진구 화양동 5-45,서울특별시 광진구 능동로 117 (화양동),1522-3232,02-3409-3723,N,37.5415592,127.0711244
01,서울,0105,광진구,서울특별시 광진구 군자동 236,서울특별시 광진구 능동로 243 (군자동),1522-3232,02-464-3657,N,37.551946,127.076404
01,서울,0105,광진구,서울특별시 광진구 구의동 75-19,서울특별시 광진구 천호대로 676 (구의동),1522-3232,02-455-3638,N,37.5505388,127.0898757
01,서울,0105,광진구,서울특별시 광진구 구의동 200-2,서울특별시 광진구 광나루로 608 (구의동),1522-3232,02-453-3515,N,37.541129,127.09524
01,서울,0105,광진구,"서울특별시 광진구 구의동 67-36,37,7",서울특별시 광진구 광나루로 519 (구의동),1522-3232,02-457-8901,N,37.5451984,127.0871587
01,서울,0105,광진구,서울특별시 광진구 자양동 779,서울특별시 광진구 아차산로 355,1522-3232,02-457-8865,N,37.5371158,127.0825821
01,서울,0105,광진구,서울특별시 광진구 군자동 478-5 중앙빌딩,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,1522-3232,02-468-8748,N,37.556965,127.079032
01,서울,0105,광진구,"서울특별시 광진구 광장동 329-1 1,2층","서울특별시 광진구 아차산로 607, 1,2층 (광장동)",1522-3232,02-458-8648,N,37.547442,127.105934
01,서울,0105,광진구,"서울특별시 광진구 자양동 227-7  1층 19,20,21호",서울특별시 광진구 아차산로 262 (자양동),1522-3232,02-2024-1368,N,37.538544,127.073009
01,서울,0105,광진구,서울특별시 광진구 자양동 507-6,서울특별시 광진구 능동로 50 (자양동),1522-3232,02-2201-1959,N,37.5354769,127.06914619999998
01,서울,0105,광진구,서울특별시 광진구 화양동 5-47,서울특별시 광진구 능동로 107 (화양동),1522-3232,02-499-8305,N,37.5406604,127.07072249999999
01,서울,0105,광진구,서울특별시 광진구 구의동 246-15,서울특별시 광진구 아차산로 373 (구의동),1522-3232,02-455-8476,N,37.53698,127.084015
01,서울,0105,광진구,서울특별시 광진구 광장동 582,서울특별시 광진구 아차산로 537-17 (광장동),1522-3232,02-455-8508,N,37.542518,127.099651
01,서울,0105,광진구,"서울특별시 광진구 자양동 227-342 더 클래식500  1층 C102,103호",서울특별시 광진구 능동로 90 (자양동) 더 클래식500,1522-3232,02-453-8519,N,37.538466,127.071271
01,서울,0105,광진구,서울특별시 광진구 화양동 111-12 빌리브 인테라스 B02~B06,서울특별시 광진구 능동로 172 (화양동),1522-3232,02-447-4149,N,37.5460180138476,127.074001181744
01,서울,0105,광진구,서울특별시 광진구 중곡동 30-80 보건복지행정타운 1층일부,"서울특별시 광진구 능동로 400 (중곡동) 1층 108,109,110,111,112,118 6개호실",1522-3232,02-2201-9815,N,37.5650109508732,127.08459679908
01,서울,0105,광진구,서울특별시 광진구 자양동 227-7 더샵스타시티 지하1층,서울특별시 광진구 아차산로 272 (자양동) 지하1층,1522-3232,02-3436-3949,N,37.537817,127.072597
01,서울,0105,광진구,서울특별시 광진구 자양동 855 이튼타워리버3차 1층 109호,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)",1522-3232,02-2205-0176,N,37.532684640479,127.067878503557
01,서울,0105,광진구,서울특별시 광진구 중곡동 649-4 1층,서울특별시 광진구 천호대로 549 (중곡동) 1층,1522-3232,02-3409-4046,N,37.5575666,127.079334
01,서울,0106,금천구,"서울특별시 금천구 시흥동 1031 엠메디컬타워 112,113,114,115호","서울특별시 금천구 시흥대로73길 67 (시흥동)112,113,114,115호",1522-3232,02-807-3902,N,37.455983,126.895727
01,서울,0106,금천구,서울특별시 금천구 가산동 371-41 가산 에스케이 브이원 센터,서울특별시 금천구 가산디지털1로 171 (가산동),1522-3232,02-6244-8047,N,37.48061318,126.8805702
01,서울,0106,금천구,서울특별시 금천구 독산동 159-23 영진빌딩,서울특별시 금천구 시흥대로 426 (독산동),1522-3232,02-838-3445,N,37.471528328745485,126.89856062315228
01,서울,0106,금천구,서울특별시 금천구 시흥동 904-22 더플레이스,서울특별시 금천구 시흥대로 164 (시흥동),1522-3232,02-805-3361,N,37.448624,126.903183
01,서울,0106,금천구,서울특별시 금천구 가산동 50-3 대륭포스트타워6차,서울특별시 금천구 벚꽃로 298 (가산동),1522-3232,02-2083-8303,N,37.481324,126.883779
